Name	Assigned Name	Formula	KEGG Pathways	Metabolika Pathways	Molecular Weight	RT [min]	Area: A7-SI-GenX.raw (F1)	Area: A9-SI-GenX.raw (F3)	Area: B8-SI-micro-metlab.raw (F7)	Area: B10-SI-micro-RNA.raw (F9)	Area: B12-SI-micro-metlab.raw (F10)	Area: D7-SI-GenX.raw (F15)	Area: D9-SI-GenX.raw (F17)	Area: B7-SI-GenX.raw (F6)	Area: B9-SI-GenX.raw (F8)	Area: D8-SI-micro-metlab.raw (F16)	Area: D10-SI-micro-metlab.raw (F18)	Area: D12-SI-micro-DNA.raw (F19)	Area: A8-SI-micro-DNA.raw (F2)	Area: A10-SI-micro-DNA.raw (F4)	Area: A12-SI-micro-RNA.raw (F5)	Area: C8-SI-micro-DNA.raw (F12)	Area: C10-SI-micro-RNA.raw (F13)	Area: C12-SI-micro-metlab.raw (F14)
Compound814	Brivaracetam	C11 H20 N2 O2	NA	NA	212.15208	15.14	92190222.0101048	57973957.0254621	261954.565789544	1847309.42917444	461208.82982711	31446492.5985887	26889870.4836109	24097120.008656	21643163.7683247	468324.110602384	163627.266263879	1050066.1084055	703463.906264916	341155.5965863	96131.5026582856	1050494.81605974	2146339.65900004	2678528.28492006
Compound815	2,6-Di-iso-propylnaphthalene	C16 H20	NA	NA	212.15627	17.539	943572.963988959	847650.747228668	1575968.28698026	256496.015577552	2681011.83362696	34576.384564288	599255.709284799	27864.283476617	47665.6796469153	484838.558868341	175478.41572882	41799.8941161734	1639275.68992076	659425.484160536	122002.052231314	173812.431892642	45959.5592083165	91653.6777295429
Compound816	YQ2978400	C13 H24 O2	NA	NA	212.17751	13.58	31265.9433237653	30037.3873378337	63080.5694965218	57071.7291312212	61814.1697312855	15598.7088831176	15122.5800797925	23272.7461729565	14395.8444238681	48247.5295296473	47756.1057681349	21186.6503672015	51911.8068355915	446133.428584181	215382.597054262	923511.522608018	415711.243049748	249755.248306083
Compound817		C6 H4 Br N3 O	NA	NA	212.95285	3.214	2811.83323359533	1810.79299146139	122682.183029959	64119.2822121543	52155.8851960207	1408.01024781065	1242.14196083888	1607.5852539312	1210.33090420695	7562.83076751367	5759.83563399422	7396.45171305653	90519.593504174	16214.4541599503	200304.927935923	8508.56354316323	6808.89205966114	4417.04670576045
Compound818		C5 H9 Cl N O2 P S	NA	NA	212.9774	3.393	97943.5808127252	59963.4627116981	119429.196387876	244932.845896363	132173.706516879	39437.3513721795	45001.8104640914	42860.9385357512	17275.9713739059	697530.087708466	137945.774176576	530383.759095332	155258.250239729	496290.15368703	79250.6991460802	270930.649150749	143972.255266163	483738.292742535
Compound819		C4 H4 N7 P S	NA	NA	212.9988	3.533	811268.087897197	702098.891077915	149534.904409571	459247.601579731	383489.767559827	385401.129203042	454456.25254248	443931.317082532	395094.018151473	1257288.61386097	312807.006093961	268022.677500501	178376.003350252	333363.639258481	209592.674192812	698099.782538764	332692.866147611	770014.825896016
Compound820		C4 H4 Cl N9	NA	NA	213.02736	3.424	251937.49763629	137840.304846601	256263.024610451	393369.251489647	227807.411077	111381.011845459	73779.4661420428	96599.3955462032	115465.919548039	1407208.58798597	316492.024474545	573022.073882997	271474.77040387	789384.235851173	200809.113344482	376149.460512296	223688.943708209	293292.360457704
Compound821	4-[5-(Trifluoromethyl)-1H-pyrazol-3-yl]pyridine	C9 H6 F3 N3	NA	NA	213.05126	3.571	142138.724803309	50109.741388763	1420326.16376382	209153.993839506	299039.987349815	13691.4668058696	32094.9746400608	15125.0379521346	18081.9383483009	499836.390118983	34741.2198837085	100954.188077465	2306444.15156783	972208.756234427	86809.2306097898	243796.260486472	99690.600540233	124484.134567421
Compound822	Baclofen	C10 H12 Cl N O2	NA	NA	213.05556	14.165	214539.955914065	201190.240374869	221426.79881921	1309510.12359051	228870.214802663	99109.6439652273	28960.8640284217	59318.987687542	76229.4695459997	107637.275693385	288337.261415286	1663355.43399168	215850.427385955	204728.204420484	142784.360379992	184412.773806278	830297.193760715	603401.175259541
Compound823	Baclofen	C10 H12 Cl N O2	NA	NA	213.05556	15.435	14380.5052167154	11394.4147488581	18880.8030697462	17845.5204471694	51533.8236240161	9850.58645310277	9096.19382130747	10460.0083875137	9309.01201794445	38931.0279329722	178080.652780055	29296.4436258144	17574.2736022199	40566.5013454127	54958.7193769482	23545.4515333972	14257.1586841581	17256.3600519986
Compound824		C5 H16 Cl N5 O2	NA	NA	213.10028	4.151	74946.8089779292	46234.5085442351	851936.092165289	275178.470865216	241000.814228006	34059.0836852708	37554.3790205892	39136.287168418	31163.9136469507	249571.841023264	176797.916958839	133427.374632739	831367.099005049	350843.716254249	184370.614800244	222414.685541557	300572.837611498	125739.117251565
Compound825	C7-HSL	C11 H19 N O3	NA	NA	213.13605	15.227	104948.989280197	29688.4825360554	331493.59102072	956530.876419339	137902.761541594	143691.842024631	91521.4021686565	23724.3652321139	50623.5424196255	104607.938921367	458459.753179832	55722.294541734	562948.376045544	205703.305433316	324364.763973533	1653678.0978443	694283.591352141	648566.62169818
Compound826		C12 H23 N O2	NA	NA	213.1725	16.79	218010.548266038	743160.52502913	1099415.68926556	887717.018926684	1391435.43085595	244946.496660172	93734.5960726796	159901.396645659	96240.8700144725	1519192.76314552	526657.560890541	2284218.2389925	723890.072453645	177997.275630797	612778.84387232	198642.737569424	317797.576812893	789812.807039258
Compound827		C3 H3 Cl N10	NA	NA	214.02368	3.8	85676.584365964	108467.066768458	110989.620442358	34360.9424067657	278497.41063645	28527.0358740155	40969.2806327587	32206.1578566188	35719.032931017	16620.4567442553	72098.9753587753	7051.15349150635	97452.0504788189	270964.778840878	210960.986114812	204444.21241343	41102.1761224266	237074.004184387
Compound828		C9 H12 Cl N2 P	NA	NA	214.04366	3.45	9683.39646880476	9918.18756489088	256967.343646576	64532.7392575452	179168.818789472	9433.15117428143	6775.68357161595	10925.3756370205	9272.84019344211	52167.1131169059	34901.1554958001	23652.2169211828	171621.049222919	235665.20039253	183152.191150556	90659.51238164	92160.0400928317	26300.6703294667
Compound829		C3 H10 N4 O7	NA	NA	214.05589	3.415	25080.5811208725	44066.5630847081	73450.3160796087	87642.4659065955	107633.15473707	36910.9335208664	17054.8836551481	43415.837950118	13715.5958862361	228313.967417028	530822.967587868	82395.461334585	86962.4463420136	95731.5690339729	95754.7260386475	288229.659014546	278666.166461471	214756.983520962
Compound830	(S)-ACPA	C8 H10 N2 O5	NA	NA	214.05989	5.593	90573.5705647708	88792.1790453968	158131.139048016	16376.3384908565	109042.64376277	6120.191269669	14105.9778782478	8601.36116230232	5043.01078942973	2413621.33963838	11487.6962391923	9203.21918913042	149864.901754019	153220.225658435	23740.9804566653	39942.1260671713	44238.2457044866	11666.3555849954
Compound831		C5 H14 N2 O7	NA	NA	214.08027	3.14	14780.1612475721	16294.9545487343	573286.012576537	118622.357613182	376915.549752663	3667.79364975617	4617.80202251565	7429.27513964364	4417.43782653925	116475.45199061	119080.076088888	66118.5830869143	536462.873417205	1142194.70054217	228894.866193055	220238.467624129	132471.488811933	62299.4490755822
Compound832		C4 H14 N4 O6	NA	NA	214.09231	3.286	455275.57454452	208681.265115392	8722.47564084467	81686.786501976	130105.45499782	111833.8357426	124071.731907773	216118.167189157	79096.9023067493	4852555.02869222	317230.706524731	2260348.84345424	16500.918698703	1895154.56805495	41590.5859516698	660695.025343722	376766.51045124	314390.830626659
Compound833	1-(beta-D-Ribofuranosyl)-1,2-dihydropyrimidine	C9 H14 N2 O4	NA	NA	214.09518	5.387	815778.38925998	272270.452841704	211765.32532874	279995.031412027	171829.120890268	117455.309147839	93325.1558188238	136505.985359218	69787.853332801	273198.843510972	452496.269593897	130086.71224991	434177.235041344	602926.126959825	238081.740812361	323287.166217781	414005.22019723	267672.243938029
Compound834	1-(beta-D-Ribofuranosyl)-1,2-dihydropyrimidine	C9 H14 N2 O4	NA	NA	214.09521	4.111	700021.93036664	549860.668577607	822509.54856756	1333018.48677726	1450059.21071401	251919.222917068	414239.514534413	408465.798144452	195422.24942853	723824.293226819	1352691.46199883	845196.80253774	1453640.48504623	3051146.05015281	1272766.01071029	1047027.10267856	1733022.22329258	1736569.81314548
Compound835	Val-pro	C10 H18 N2 O3	NA	NA	214.13146	5.394	2723690.64652972	1639255.57070155	3535763.51827531	1310152.4746839	2395533.62959831	419409.919375239	524191.060997885	1165588.78419653	302192.209554308	1949726.77746269	2092129.31535795	155743.631469548	2788800.45045515	9334445.48206743	1043792.67322236	1112474.3758917	1025668.77674194	910838.202077525
Compound836	Val-pro	C10 H18 N2 O3	NA	NA	214.1315	7.263	2180022.70717831	4277221.13821774	1820016.41674883	267750.978589537	2013699.71595243	671537.761510849	1569131.82127049	2643075.44501842	407598.258797014	3305855.08182653	622189.5858702	14071.2146855003	3303870.50580734	8949773.17023675	935481.681272517	362292.102591102	432573.302358558	227508.066353735
Compound837	Val-pro; Desthiobiotin	C10 H18 N2 O3	NA	NA	214.13158	4.616	1101714.62173428	661681.68627122	1173038.00703043	667705.632763221	1770753.23387991	377506.493593153	503667.013598736	716400.940597112	282368.414844882	2704684.46136467	927972.232086036	126922.751366917	4251725.98728581	8385333.91235473	909327.406412153	708462.64314136	746469.025282313	868608.808394983
Compound838	Val-pro; Desthiobiotin	C10 H18 N2 O3	NA	NA	214.13158	10.19	1195968.16400748	970121.566940849	4806325.10839717	472245.204601176	6889357.34513282	1087909.10021142	1188065.3917518	2627189.95913304	983438.608512725	5610255.36656908	6548583.00590448	69207.2859696192	3102449.64549107	14691380.0968845	3577858.04126006	1023848.85725475	375151.642563464	230849.045689555
Compound839	; Val-pro; Desthiobiotin; Desthiobiotin	; C10 H18 N2 O3; C10 H18 N2 O3; C10 H18 N2 O3	NA; NA; NA	NA; NA; NA	214.13161	4.221	1928741.21795373	1209317.59280293	3409290.21330473	1625926.16709805	2811997.36424196	538162.549633234	1018078.29452652	1067225.59149893	520120.088841422	3984660.37477263	2685821.72081413	822077.986484964	6656810.69287116	14220263.2602442	2588433.83695458	1357215.6945158	1645198.37277486	1182998.34906114
Compound840			NA	NA	214.64741	11.206	680905.629322136	334717.571686581	503213.389360985	146115.059583607	122135.784157296	54210.118680258	245791.863090736	205586.267143532	98853.4825210225	655379.377255345	182434.857172328	76125.8490760895	627065.159120791	1219626.2251585	145240.09677125	209422.147260637	236366.049053891	160766.493773886
Compound841	4-nitro-6-oxohepta-2,4-dienedioic acid	C7 H5 N O7	NA	NA	215.00716	3.355	52181.6502668074	37898.6257094524	194728.107339947	157706.206733497	168919.830922807	32544.8117764108	3473.60123794384	22310.284549421	22479.0850604688	1173703.39278466	160711.388679706	766749.354582424	210550.291570554	605666.350450227	95959.3259813119	420195.750163951	262634.255567466	237408.916603586
Compound842		C12 H25 N O2	NA	NA	215.18818	15.97	271439.018853269	1149920.21135038	396308.240590514	450513.955010635	538512.082134674	304912.295277939	164367.643389304	208026.522332751	238759.88176374	317634.614587278	254512.135109186	674658.657807919	561091.401214304	182825.533654344	249943.743035092	75927.3699948554	106986.392731493	565732.704934445
Compound843		C12 H25 N O2	NA	NA	215.18828	16.187	61156.7552079818	76558.5349919623	43842.9215784088	91374.9508981532	538512.082134674	16894.3196115314	24678.4204818025	18051.7983878762	20684.0806580533	481866.543225142	35881.7902064493	1019472.67153137	561091.401214304	182825.533654344	55579.7497553123	42219.6199266827	24398.4167990408	31518.7258479475
Compound844		C11 H25 N3 O	NA	NA	215.19946	9.796	4011.06641614789	1936.96141892287	379147.761728386	20770.2952180271	14143.1232553751	2415.08855742228	2209.40167742715	4824.55207964876	1850.85475459651	11406.4164613621	10849.6723403322	3755.69645779004	5168.4999230536	17591.2918221733	73274.4959804193	4734.45692226054	2810.01768034121	2651.70686822964
Compound845		C11 H25 N3 O	NA	NA	215.19948	4.06	322603.806291609	10690.6403782196	2057760.24709155	1280658.48547749	124476.56694005	5510.3571268226	27056.6511296694	7017.50994762724	4689.31726905786	35092.1661195759	21212.5910758186	32775.0206210137	366487.209938792	220323.048318754	361350.560761511	67752.8742009012	26873.5395818378	26510.1430127439
Compound846		C3 H2 Cl O3 P S2	NA	NA	215.88669	35.765	10948.325622385	34118.8728942986	23094.6609820902	19217.0025461857	950991.068430978	7491.81012539234	3752.70881168628	18809.3227787187	5342.53773763674	690954.939001152	275991.623442422	763217.936165782	16347.451855347	25612.2308373387	18323.195019958	17565.2772226583	9182.37036705695	14951.6702913262
Compound847		C2 H2 Cl N2 O4 P S	NA	NA	215.91529	3.22	3144455.21002967	1732259.6268593	162842.244582766	2335552.27740418	624527.354084217	2159528.40488568	1297590.27468142	1441883.07409144	1488581.68641243	1144775.67735341	1793231.24257769	379081.084378936	144350.744590245	383627.008614171	423297.041807886	1924640.16626367	1994485.9145077	3671682.2279887
Compound848		C4 H8 Cl O2 P3	NA	NA	215.94321	3.066	8782.70948826238	8270.96496220138	1553920.54116778	365400.011706021	1352408.96807463	4759.62744803636	4996.60931935803	5261.32195294452	3684.89874219827	21751.9341532967	62239.994333307	18518.9063087238	843256.582775007	264679.466916633	1851310.00294369	156219.192859187	79221.1711667984	24319.9363289025
Compound849		C9 H9 Cl O2 S	NA	NA	216.00203	3.694	7296.46054150524	4353.20482843345	10307.9990410812	71366.6379803049	46028.6402018109	3954.31115885178	3257.58845955239	4051.77014209284	4122.87165711544	41014.8427572891	37199.2188705851	15777.5198032696	10972.3923175563	31510.830573923	41489.082268732	37848.9797525034	282504.944751438	96510.0690750443
Compound850		C6 H13 Cl O6	NA	NA	216.03929	4.452	5837816.10661169	17825739.4252498	15015965.099495	8549537.43929962	18355493.0685422	18588014.9508741	10855188.4235362	21746515.6661812	12393629.1717014	13878963.7419226	38241208.0515168	369708.004800027	25889997.9100383	7293312.43088818	12285537.220882	5242853.06810131	3183874.47175855	3480526.88196619
Compound851		C6 H13 Cl O6	NA	NA	216.0393	3.976	2492067.92530201	3080622.50909837	12243087.9655925	2603768.30281258	7935412.4840274	6272320.8042232	1754545.03882865	3729650.15710723	6261203.39135259	4042844.62439034	5905271.88756816	115337.028606299	8710836.62794116	807413.229243521	4699559.45349162	2682301.90151298	878966.252876307	606502.513061599
Compound852		C6 H13 Cl O6	NA	NA	216.03933	3.53	12093821.7807582	16226707.9108129	21174071.8677266	23587245.5484639	28347627.2248238	23287292.1849348	14403831.0919381	22520932.4019828	29397471.548596	16842065.3840606	43710662.1714872	2486813.84322147	40906226.884629	15639603.6038377	18698561.9238276	10567306.5386305	10282337.0344665	13640937.1744025
Compound853		C5 H8 N6 O4	NA	NA	216.06076	3.513	2640004.79767151	3606356.00785499	2008463.99751983	16804014.1139165	8227410.61734149	3492634.43919558	3264301.26895224	4026747.79566028	3602705.55413408	994097.541097667	24585634.8370225	72990.2858313954	4576106.90474827	7327659.25240533	19039316.5237415	16308317.2355322	22355207.9275064	8625839.75235367
Compound854		C9 H8 N6 O	NA	NA	216.07473	4.14	424935.207972939	318171.426333425	931940.404739387	435608.517403749	968132.446085301	105402.343465575	173275.017329087	152738.349850909	78547.3835432639	1564805.38968105	681005.285840877	2646535.1680534	1027862.94161448	1593928.01037208	696274.55674089	513245.793808163	413787.152575378	639057.677438044
Compound855		C9 H16 N2 O2 S	NA	NA	216.09291	13.811	803072.975030912	686910.254424265	41540.481787035	22468.1093153066	55187.6269801679	594144.088298567	465369.419853033	409268.328994456	523683.207193391	34571.0563089955	38120.1316989964	14768.642356033	25344.4222873268	60136.733319247	35290.2729522658	32807.6291469388	35009.861000142	23050.4467578168
Compound856	6-(4-methoxyphenyl)pyrimidine-2,4-diamine	C11 H12 N4 O	NA	NA	216.09719	4.653	167604.619276436	79612.0519278271	151703.181184188	1452009.60256964	253263.392681026	124888.659402743	89680.0317925714	46070.8278939088	125139.112697278	122558.615312682	716352.923614222	369073.254030606	104631.117737834	172945.27449887	163447.103538725	455740.664429939	242218.083818557	2431560.73787746
Compound857	6-(4-methoxyphenyl)pyrimidine-2,4-diamine	C11 H12 N4 O	NA	NA	216.09724	4.172	38878.796026587	34333.5207992749	53069.1385577566	1105371.54078424	153629.522944846	67462.3460369978	55754.5482726164	39383.0629408586	66568.7838752888	104157.273161379	163524.203377269	417328.037925667	94813.0602296292	136922.618685992	92548.8538410932	367699.286924846	150172.545748432	1471809.81817746
Compound858		C6 H12 N6 O3	NA	NA	216.09735	10.178	17828.5089336086	45545.0715830177	21055.4640945356	449572.385289672	41386.2468543629	24462.2057741987	40467.9715949361	21472.2479722479	45031.3659098782	162946.166381875	36553.8303839104	619976.563934703	63956.8330112192	70014.2743552462	23716.4788862518	316018.703130234	56784.0237997614	684642.545735012
Compound859		C11 H21 P S	NA	NA	216.11081	4.808	421855.418499854	374245.92202727	2449821.25477228	374950.473403152	1497593.96669929	199552.088530069	230320.637548149	505895.865431844	187926.234593097	3593049.17935886	942163.867460586	236082.176284894	3295018.98113876	5429112.15743243	1125439.36980626	1098281.3097413	600802.396729045	59586.6243820132
Compound860	thr-pro; pro-thr	C9 H16 N2 O4	NA	NA	216.11082	4.057	904209.505064517	606245.16253766	4962739.1052637	1510200.79398287	2709794.30171007	423416.768396096	390584.045046643	643436.67959528	345721.582453531	8323831.32377781	2708700.09195009	1062733.43762125	5979598.63700363	14143933.3005833	2300379.92071878	3698408.67505347	1854958.81040293	1131776.00798652
Compound861	ACETYL ARGININE	C8 H16 N4 O3	NA	NA	216.12239	4.058	71960.3374759925	66657.4888410541	734499.660419551	1109760.8725324	720942.614244788	96491.3834449619	321446.447564715	47496.3554598908	62266.2008064626	280304.16486793	1312328.59322955	154960.068060909	819289.430715437	612394.693783175	1234197.07798748	713096.568447381	1596534.02707006	734263.883447726
Compound862			NA	NA	216.14588	19.075	162853.715271795	229516.240125749	65740.4656577982	56782.6922611188	90074.5551218477	118563.595691012	113239.286977972	232341.426249468	223327.945332588	67363.8444752269	39863.7703042423	53961.2230541145	69586.8015272582	87172.4688524919	42343.3897116088	43569.286099574	27697.9563640474	38164.278687963
Compound863	Valylvaline	C10 H20 N2 O3	NA	NA	216.14719	4.202	305271.515199762	433540.794041162	178111.401353154	337624.200999952	370924.515212357	67333.8859169342	329851.086202912	261520.950652406	59844.8169039286	268860.163508366	247143.996035058	174626.707921643	546127.521339337	665768.571433651	401359.283517544	242293.571430075	433838.798798397	275559.454379043
Compound864	Valylvaline	C10 H20 N2 O3	NA	NA	216.14731	4.602	230655.678778403	256264.723255607	63759.176842808	109822.488432713	258965.243115793	20895.7021202797	134820.343776713	310165.329546566	68757.6494543806	219904.620961411	154184.900291332	128612.834672766	498740.031114439	1330410.36303949	195321.667029262	144331.017558287	689937.871601178	297782.441232994
Compound865	Valylvaline	C10 H20 N2 O3	NA	NA	216.14731	10.456	1974855.16018749	2685929.38450534	953534.592504918	438468.53895446	2676988.62174322	543792.476293814	2387905.69478485	2339236.47059769	563852.528202299	1141460.25773605	2941372.59000436	223118.464994705	3769380.96923641	4656127.81925868	2064630.41197252	1405365.26137012	1799009.83723034	734926.684628565
Compound866		C2 H8 Cl N5 O S2	NA	NA	216.98551	3.767	84533.3013209769	115162.019593953	24884.7873039539	19616.5259456986	22559.293663774	67942.1182103035	62812.1771996933	94233.256121554	45227.4214744878	54482.6711096084	23489.4155311159	29893.1613010744	26432.6165704274	46004.7436334276	15748.2495935771	21753.0800817748	18367.9340711023	36205.8262112799
Compound867			NA	NA	217.07983	4.256	67223.6788648086	46707.2566439441	1695328.6017348	166400.728590114	856245.676435549	36375.4472680281	33186.7349084636	41309.4164975828	29236.9262790703	242222.454974203	114679.134966344	159887.763904022	836009.896936407	525525.222853698	675031.047892002	247247.679788284	84279.7580579199	87491.8184859848
Compound868	L-Alanyl-L-glutamine	C8 H15 N3 O4	NA	NA	217.10551	3.733	497462.796500246	249919.261102379	54209.6460494445	44985.1376981342	60304.668544575	52337.637788629	249510.039276947	305973.439548997	27444.1556851512	47771.4051169234	165884.636851958	48826.2045591662	238849.624150508	417549.176861922	34908.8145458354	44674.7035259102	52683.55420768	33206.1636534975
Compound869	L-Alanyl-L-glutamine	C8 H15 N3 O4	NA	NA	217.10577	4.105	674741.683232289	321722.712807538	411256.497123091	188355.911345721	249704.07049175	122730.54593977	246489.313953565	466419.990199144	101631.488718284	528200.335505878	304605.850691604	81568.5633366979	673587.403738548	737578.30550333	213380.679949744	281769.619350061	170058.195575754	108006.112193018
Compound870	propionylcarnitine	C10 H19 N O4	NA	NA	217.1312	5.396	412790.612178146	203049.607375392	233719.95296053	97057.4816011015	195734.99680201	238679.028471018	102832.848515355	243559.360378645	315440.668299055	589520.865295941	160002.902145457	107931.622001757	1075995.801919	245540.656972956	48457.6456779964	126281.228892488	122142.093123208	84849.045242691
Compound871	propionylcarnitine	C10 H19 N O4	NA	NA	217.1319	4.61	122553.674459056	73443.9959012297	215209.392278443	373267.850021666	120439.309864656	19710.2956326339	72537.8603824409	86880.715954558	59274.1592985446	248241.22531892	69176.8677882459	114133.691985783	411894.163089748	185251.059218811	41494.7486368837	55950.415264959	47402.2732257821	71463.73788317
Compound872	b-Ala-Lys	C9 H19 N3 O3	NA	NA	217.14244	3.512	433712.083084675	104738.576443605	117553.789908575	108119.653096308	127908.763419484	53116.0958998446	74379.6056361383	287441.65358174	23948.0075740718	154580.102117581	72443.1354953968	151880.220812234	370543.715496783	1012391.71999045	131126.81765793	127607.281016567	160350.187600213	141159.246858361
Compound873		C H4 Cl N4 O3 P S	NA	NA	217.94388	3.219	32025.2791193907	38450.9191465306	643890.159520182	1275246.04835667	884156.688671209	3998.75966161534	16568.5015815951	5258.36424627608	2191.61722094461	47774.8172508989	382341.811859256	5565.52269714473	570990.259511781	489042.723240333	749981.470928983	532938.000541866	472866.359383775	345898.868821978
Compound874		C3 H7 Cl N2 O5 S	NA	NA	217.97617	3.08	3320.63999931644	3629.4979921922	3491172.40343655	1050797.83894816	1529236.37723448	1663.915793657	1691.34677881223	1975.80941994924	1393.21722677124	7642.76755298303	241551.744181342	5033.17797818533	2347340.69729117	429422.942218052	4828169.31022666	158178.965167017	120173.339910666	35746.8871445796
Compound875		C8 H12 O3 P2	NA	NA	218.02588	0.405	3138659.02111553	1909374.86010588	759835.965302811	4005858.59261783	5468115.0222354	364319.700384564	1243829.83570097	214719.758279625	158447.817800392	1290098.8399826	259005.703259268	1274853.68980592	556815.893726525	5054786.27491865	3552329.02322499	926588.096792705	1179508.32047989	970332.176151403
Compound876		C4 H11 O8 P; C9 H12 Cl O2 P	NA	NA	218.027	3.61	720158.109602789	1142423.87796568	2882011.82884986	2483204.51749923	6087115.4855104	3217168.68881085	1174126.38258485	1956133.37400872	2700394.04226446	2467524.30008497	8656691.42888555	402317.716614888	7352735.83716849	2333718.62628376	1899155.69609374	2257939.70252448	1672753.98227982	2217400.57531606
Compound877		C4 H6 N6 O5	NA	NA	218.04001	3.511	241630.98163148	366388.32404938	434719.278828748	1563765.62990224	647591.58336718	379487.573982552	217100.734665726	208572.620955519	344575.355149354	446173.908342241	3106959.64023174	261882.30388322	2139811.06044709	1985972.03459175	1685397.59530171	1435081.85478363	4817567.13952087	2238024.51571057
Compound878		C9 H17 P3	NA	NA	218.05498	3.522	880662.39253381	1789482.4198032	2274882.80161033	9954724.55728768	1646595.75946891	972510.306270498	647081.639789115	608850.69175344	1119311.22226011	2026078.41211584	4176358.72538754	1285333.58738247	10483303.4916072	17480181.3177217	7977817.86852302	13201194.6165234	8204507.48285566	2687933.25729674
Compound879	2-(3,5-dimethyl-1H-pyrazol-4-yl)-3-nitropyridine	C10 H10 N4 O2	NA	NA	218.07534	3.441	1345647.33527746	767512.233676658	413314.950051417	674850.21011505	701974.229876029	716723.763014489	621197.612421398	1395607.17442472	489495.69882614	1372877.91425078	1320338.56328147	904355.449552394	269519.498632054	871088.754339827	780341.218178162	1553850.7197334	1295687.09972729	1476903.93791442
Compound880	Seryl-4-hydroxyproline	C8 H14 N2 O5	NA	NA	218.08951	4.684	393159.796476822	326368.312300932	492911.966822057	263370.956110558	128811.94451043	97531.3744482593	208291.732006584	336871.822772044	79339.4686883759	469384.016515831	265197.732987134	273460.65228966	285420.961644735	482633.054960906	304936.08675943	336900.092180581	749079.425178985	235645.992284646
Compound881	Seryl-4-hydroxyproline	C8 H14 N2 O5	NA	NA	218.08966	5.493	108950.138803963	95362.4949408828	334047.871119089	118842.302861728	247165.323435632	55629.6346233229	65283.4353400372	110022.296658554	133228.534204431	417779.472799975	832775.417430966	89212.3214244611	166700.147982112	287543.375628456	191975.308079286	266801.514151853	544447.884442022	95846.8637371502
Compound882	Seryl-4-hydroxyproline	C8 H14 N2 O5	NA	NA	218.09006	5.095	234518.354246783	214575.353401264	904840.158082047	500202.148759255	1084205.48780722	132594.931600845	143725.651299037	170214.939138701	33443.2552574973	745802.183500284	745145.693924736	817841.506381713	1153349.19095658	1780942.55737184	837055.924487873	902428.701029823	286130.271150242	530272.862801497
Compound883	MFCD00037215; ALA-GLU; 	C8 H14 N2 O5; C10 H19 O P S	NA; NA	NA; NA	218.0901	4.154	1080825.28506941	668781.840905093	805534.500059578	1128499.13772123	1081056.30442693	342293.759254391	606583.488301074	597413.118280024	276139.51497388	1104557.25951476	1355615.01206457	1469676.45066443	1486492.9721142	1669549.64978054	1172592.7799767	1206746.72307708	1518302.53434665	1114899.66710393
Compound884	2-hydroxysebacic acid	C10 H18 O5	NA	NA	218.11456	13.53	52415.6566388569	15963.3057736328	186706.486006696	144345.297958027	24492.1632358031	37090.2953729882	49009.7204694799	6975.6869089978	42465.3821464398	94866.9675231098	92572.9230414964	28212.7817220232	73407.2020886581	103452.080175406	43928.8602667157	85837.6960795524	789191.788340693	125595.233997598
Compound885	Ser-Leu	C9 H18 N2 O4	NA	NA	218.12601	10.807	1384183.43320699	1745728.60804931	475192.082903443	348008.738278883	994355.258534495	304356.076656248	1537165.05801	1518493.51792912	313140.74368189	1474950.64052955	805198.584887485	266778.077212959	1508797.38942889	1932473.75131994	634007.228733496	519605.60168013	682343.57538075	797787.29090819
Compound886	Valylthreonine; Ser-Leu	C9 H18 N2 O4	NA	NA	218.12647	4.167	2772950.06697049	1766218.55707353	1576291.57273421	2104287.54697672	2818896.29213138	558339.352350983	1699850.30861659	1812906.03965864	358587.169545391	2086602.07428773	3729743.32858059	1255725.02230015	4370876.09210968	4857852.80965002	2487672.9132891	1709189.70238604	3553561.21361207	3285904.79162532
Compound887		C3 H4 Cl3 N3 O2	NA	NA	218.93672	3.336	2804.6274841745	2265.24516394085	659266.232098433	39334.6458795441	401632.586933373	1784.262955034	1241.80313559871	1464.95793085772	1366.95090405856	9756.70623120181	3202.18174356134	3807.65201466889	709721.675836784	38732.7530465629	65812.2563437512	11120.8146592934	3072.3565404435	3844.49443403025
Compound888		C8 H13 N O2 S2	NA	NA	219.03839	15.498	893050.128353585	372703.423678962	47178.7126008393	40253.0333436603	55440.8337544038	232527.176361614	396559.981744981	90230.9966043212	220143.565928941	86980.0540702739	45193.267335169	58982.0444786383	44069.7057444444	89840.5483226905	45183.8639370943	53537.6446123719	48080.2346696685	38554.3154155384
Compound889		C5 H9 N5 O5	NA	NA	219.06101	3.679	7728.31641616776	7642.60014406881	123231.336488312	577970.271651222	14604.7406780541	5645.55637210108	4612.39031606424	6320.034466664	5796.24409427837	46458.9182583741	188676.014984176	21629.032893705	147422.980863173	87883.6967008957	761309.331046452	245599.7993563	187114.703188817	224465.598229016
Compound890	O-(3-Carboxypropanoyl)homoserine	C8 H13 N O6	NA	NA	219.07361	4.131	46700.1913577445	43166.854319605	163616.322333327	188238.528443826	143066.99860604	33657.4899734886	39517.3259273007	27387.1751707167	41964.5915923942	225489.019462798	405800.734948647	57366.8630437176	182842.343805507	295584.639515729	224111.488714242	274841.755733477	225317.316886162	69364.4569241236
